               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       metrics/1_mAP,      metrics/10_mAP,      metrics/11_mAP,      metrics/12_mAP,       metrics/2_mAP,       metrics/3_mAP,       metrics/4_mAP,       metrics/5_mAP,       metrics/6_mAP,       metrics/7_mAP,       metrics/8_mAP,       metrics/9_mAP,    metrics/1_mAP_50,   metrics/10_mAP_50,   metrics/11_mAP_50,   metrics/12_mAP_50,    metrics/2_mAP_50,    metrics/3_mAP_50,    metrics/4_mAP_50,    metrics/5_mAP_50,    metrics/6_mAP_50,    metrics/7_mAP_50,    metrics/8_mAP_50,    metrics/9_mAP_50
                  22,            0.035659,             0.07748,             0.01569,             0.93767,             0.64903,             0.69622,             0.47802,            0.035998,             0.10618,            0.016194,            0.007921,            0.007921,            0.007921,             0.52241,              0.3925,             0.56264,             0.40771,             0.50345,             0.42923,             0.44574,             0.53733,              0.4242,              0.5097,             0.55163,             0.44964,             0.79942,             0.65446,             0.75588,             0.59539,              0.6856,             0.62816,              0.6944,             0.72397,             0.62553,             0.76654,             0.75167,             0.67356
                  23,            0.035273,            0.075787,            0.015169,             0.92789,             0.65237,             0.69931,             0.48151,            0.035642,             0.10646,            0.016038,            0.007822,            0.007822,            0.007822,              0.5262,             0.39981,             0.56681,             0.41335,             0.50227,             0.43096,             0.45053,             0.53456,              0.4228,             0.51531,             0.55583,             0.45967,             0.80313,             0.65774,             0.76624,             0.59888,             0.68511,             0.62515,             0.70015,             0.72292,             0.62189,             0.77085,             0.76098,             0.67863
                  24,            0.035057,            0.075726,            0.014879,             0.92422,             0.65706,             0.70033,             0.48118,            0.035956,             0.10661,            0.016276,            0.007723,            0.007723,            0.007723,              0.5217,             0.39405,             0.56535,             0.41135,             0.50927,             0.43008,             0.44833,             0.53838,             0.43553,             0.51287,              0.5523,             0.45495,             0.80468,             0.65412,             0.76753,             0.60468,             0.68404,             0.62929,             0.69953,             0.72004,             0.63372,             0.77002,              0.7575,             0.67884
                  25,            0.035046,             0.07564,            0.014814,             0.92845,             0.65657,             0.69978,             0.48181,            0.035896,             0.10625,             0.01618,            0.007624,            0.007624,            0.007624,             0.52394,             0.39586,             0.56909,             0.41283,             0.50333,             0.43119,             0.45035,             0.54065,             0.43511,             0.50651,             0.55151,              0.4613,             0.80035,             0.65278,             0.76601,             0.60446,             0.68615,             0.62836,             0.70119,             0.72794,             0.63066,             0.76162,             0.75712,             0.68075
                  26,            0.034628,            0.074166,            0.014379,             0.93389,             0.65707,             0.69873,             0.48008,            0.035967,             0.10672,             0.01554,            0.007525,            0.007525,            0.007525,             0.52551,             0.39564,             0.56478,             0.40993,             0.50493,             0.42921,             0.44823,             0.53659,             0.43204,             0.51349,             0.54966,             0.45091,             0.80127,             0.65471,             0.76744,              0.5939,             0.69101,              0.6304,             0.69518,             0.72518,             0.63136,             0.76992,              0.7522,             0.67216
                  27,             0.03422,            0.074348,            0.013858,             0.93929,             0.65452,             0.69852,             0.48032,            0.036058,              0.1074,            0.015914,            0.007426,            0.007426,            0.007426,             0.52328,             0.39687,             0.56639,             0.40643,             0.50682,             0.43423,              0.4482,             0.53279,             0.43285,             0.51233,             0.55107,             0.45258,             0.80554,             0.65819,             0.76487,              0.5892,             0.68905,             0.62966,              0.6947,             0.72083,             0.63247,             0.77247,             0.75072,             0.67459
                  28,             0.03404,            0.073275,            0.013896,             0.92997,             0.65754,             0.69849,             0.48041,            0.036155,             0.10827,            0.016368,            0.007327,            0.007327,            0.007327,             0.52593,             0.39422,             0.56183,             0.41368,             0.50799,             0.43321,              0.4461,             0.53988,             0.42878,             0.51218,             0.55146,              0.4497,             0.80615,             0.65672,             0.75914,             0.59856,             0.69325,             0.62805,             0.69172,             0.72942,             0.62804,             0.76836,             0.75105,             0.67143
                  29,            0.033525,            0.073038,            0.013453,             0.92546,             0.66014,             0.70149,             0.48259,            0.035882,             0.10812,            0.016385,            0.007228,            0.007228,            0.007228,             0.52747,              0.3976,             0.56759,             0.41564,             0.50782,             0.42779,             0.45113,             0.53861,             0.43418,             0.51499,             0.55587,             0.45244,              0.8109,             0.66094,             0.76464,             0.60483,             0.69272,             0.62385,             0.69936,             0.72644,             0.63525,             0.77214,              0.7546,             0.67216
                  30,            0.033359,            0.072558,            0.013353,              0.9253,             0.66105,             0.70009,             0.48372,            0.035934,             0.10944,            0.016268,            0.007129,            0.007129,            0.007129,             0.52733,             0.39565,             0.56769,             0.41182,             0.51285,             0.43144,             0.45305,             0.54122,             0.43198,             0.51786,             0.55695,             0.45683,             0.80628,              0.6548,             0.76323,             0.59722,             0.69182,             0.62692,             0.70029,             0.72749,             0.63286,             0.77236,             0.75461,             0.67318
                  31,            0.033137,            0.072189,            0.013274,             0.92501,             0.65984,             0.69588,             0.48047,            0.036214,             0.11137,            0.016685,             0.00703,             0.00703,             0.00703,             0.52568,             0.39167,             0.56582,             0.41302,             0.50589,             0.42748,             0.45321,             0.53717,             0.42758,             0.51363,             0.55376,             0.45072,             0.80763,             0.64354,             0.76116,             0.59775,             0.68783,             0.62271,             0.69389,             0.72359,             0.62485,             0.76955,             0.75167,             0.66639
                  32,            0.032913,            0.072107,            0.012957,             0.93082,             0.65839,             0.69858,              0.4812,            0.036399,             0.11096,            0.016935,            0.006931,            0.006931,            0.006931,             0.52667,             0.38878,             0.56676,             0.41491,             0.50569,             0.42958,             0.45388,             0.53789,             0.43115,             0.51275,             0.55449,             0.45186,             0.80917,             0.64402,             0.76591,             0.60146,             0.68712,             0.62694,             0.69795,             0.73033,             0.62974,             0.76887,              0.7525,             0.66895
                  33,            0.032601,            0.071072,            0.012495,             0.92418,             0.66012,             0.69848,             0.48208,            0.036422,              0.1119,            0.016675,            0.006832,            0.006832,            0.006832,             0.52793,             0.39388,             0.57186,             0.41044,             0.50716,              0.4286,             0.45104,             0.53893,             0.42866,             0.51415,             0.55844,             0.45386,             0.80645,               0.649,             0.76834,             0.59417,              0.6896,             0.62384,             0.69132,             0.72869,             0.62658,             0.77135,             0.75836,             0.67404
                  34,            0.032278,            0.070367,            0.012149,             0.92807,             0.65976,             0.69726,             0.48238,            0.036309,             0.11252,            0.016509,            0.006733,            0.006733,            0.006733,             0.52957,             0.39127,              0.5671,             0.41027,             0.51021,             0.42712,             0.45518,             0.54022,             0.42966,             0.51878,             0.55627,             0.45292,             0.80556,             0.64257,             0.76749,             0.58857,             0.69044,             0.62419,             0.69518,             0.72619,             0.62476,             0.77287,             0.75375,             0.67561
                  35,             0.03178,            0.069581,            0.011786,             0.93005,             0.66007,             0.69773,             0.48353,              0.0364,             0.11328,            0.016399,            0.006634,            0.006634,            0.006634,             0.52956,             0.39049,             0.57085,             0.40993,             0.50759,             0.43135,             0.45339,             0.54022,             0.43043,             0.52116,             0.55766,             0.45977,             0.80929,             0.64054,             0.76483,             0.58709,             0.68664,             0.62584,             0.69556,              0.7234,             0.62981,             0.77427,             0.75686,             0.67868
                  36,            0.031624,            0.069293,            0.011529,             0.92955,             0.66122,             0.69733,             0.48336,            0.036395,             0.11482,            0.016673,            0.006535,            0.006535,            0.006535,             0.53014,             0.38721,             0.57257,             0.41159,              0.5065,             0.43386,             0.45278,             0.54323,             0.43165,             0.51645,             0.55858,             0.45575,             0.80969,             0.63772,             0.76695,             0.58964,             0.68757,             0.62858,             0.69267,             0.72416,             0.62847,             0.77129,             0.75998,             0.67124
                  37,            0.031354,            0.068906,            0.011431,             0.92712,             0.65918,             0.69542,             0.48195,            0.036481,             0.11567,            0.016865,            0.006436,            0.006436,            0.006436,             0.52985,             0.38573,             0.57244,             0.41202,             0.50875,             0.42762,              0.4489,             0.54205,             0.42906,             0.51664,             0.55823,             0.45207,             0.80856,             0.63484,             0.76787,             0.58896,             0.68953,              0.6209,             0.68973,             0.72575,              0.6285,             0.76887,              0.7581,             0.66343
                  38,            0.031167,             0.06929,            0.011029,             0.92914,             0.65764,             0.69456,             0.48173,            0.036558,             0.11652,            0.017012,            0.006337,            0.006337,            0.006337,             0.52813,             0.38595,             0.57237,             0.41033,             0.50803,             0.42954,             0.45235,             0.54152,              0.4256,             0.51789,             0.55783,             0.45126,             0.80708,             0.63506,             0.77093,             0.58725,             0.68463,              0.6207,             0.69153,             0.72127,             0.62591,             0.76921,             0.75515,             0.66606
                  39,            0.030916,            0.067955,            0.010705,             0.92448,             0.66179,             0.69658,             0.48218,            0.036597,              0.1176,            0.017155,            0.006238,            0.006238,            0.006238,             0.52968,             0.38855,              0.5733,             0.41063,             0.50836,             0.42945,             0.45251,             0.53938,             0.42368,             0.51752,             0.55809,             0.45505,             0.80812,             0.63978,             0.77238,              0.5868,             0.68854,             0.62363,             0.69054,             0.72642,              0.6221,             0.76974,             0.75922,             0.67173
                  40,            0.030441,            0.067484,            0.010164,             0.92258,             0.65907,              0.6939,             0.48167,            0.036558,             0.11939,            0.017371,            0.006139,            0.006139,            0.006139,             0.52875,             0.38445,             0.57223,             0.40615,             0.50775,             0.42685,             0.45272,             0.54427,             0.42599,             0.51706,             0.56021,              0.4536,             0.80612,             0.63335,              0.7664,             0.58175,             0.68608,             0.61915,             0.69049,             0.72717,             0.62461,             0.76773,             0.75778,             0.66619
                  41,            0.030047,            0.068024,           0.0098496,             0.92213,             0.65831,             0.69265,             0.48159,            0.036546,             0.12041,            0.017738,             0.00604,             0.00604,             0.00604,             0.52829,             0.38629,             0.57039,             0.40505,             0.50753,             0.42673,             0.45269,             0.54444,             0.42741,             0.51671,             0.55974,             0.45379,             0.80725,             0.63329,             0.76419,             0.57946,             0.68348,             0.61722,             0.68875,             0.72838,             0.62258,             0.76563,             0.75625,             0.66527
                  42,            0.030008,            0.065814,           0.0096879,             0.92011,             0.65614,             0.69049,             0.48051,            0.036649,             0.12169,            0.018014,            0.005941,            0.005941,            0.005941,             0.52562,             0.38596,             0.56991,             0.40408,             0.50646,             0.42753,             0.45083,             0.54303,              0.4246,             0.51625,             0.56084,             0.45108,             0.80205,             0.63287,             0.76053,             0.57695,              0.6807,             0.61544,             0.68824,             0.72358,             0.62025,              0.7647,             0.75699,             0.66357
                  43,            0.029588,            0.065553,           0.0093514,             0.91884,             0.65646,             0.69118,             0.47993,            0.036708,             0.12261,            0.017964,            0.005842,            0.005842,            0.005842,             0.52712,             0.38517,             0.56903,             0.40241,             0.50553,             0.42497,             0.45137,             0.54205,             0.42414,             0.51669,             0.55949,             0.45114,             0.80437,              0.6371,             0.75982,             0.57729,             0.68172,             0.61493,             0.68785,             0.72342,              0.6189,             0.76739,             0.75715,             0.66417
                  44,            0.029342,            0.065288,           0.0090999,             0.91773,             0.65638,             0.69077,             0.47934,            0.036754,             0.12373,            0.018124,            0.005743,            0.005743,            0.005743,             0.52555,             0.38415,             0.57127,              0.4017,             0.50406,             0.42416,             0.45043,             0.54172,              0.4234,             0.51657,             0.55939,             0.44969,             0.80283,             0.63683,             0.76123,              0.5771,             0.67997,             0.61556,             0.68804,             0.72277,             0.61682,             0.76706,             0.75713,             0.66392
                  45,            0.029177,            0.064788,           0.0088534,             0.91651,             0.65677,             0.69092,             0.47918,            0.036792,             0.12476,              0.0182,            0.005644,            0.005644,            0.005644,             0.52601,             0.38226,             0.57081,             0.40282,             0.50353,              0.4255,             0.44979,             0.54131,             0.42259,             0.51574,             0.55855,             0.45128,             0.80215,             0.63114,             0.76072,             0.57776,             0.68122,             0.61667,             0.68749,             0.72438,             0.61869,             0.76664,             0.75849,             0.66566
                  46,            0.028776,            0.063646,            0.008555,              0.9137,             0.65728,             0.68994,             0.47817,            0.036853,              0.1261,            0.018436,            0.005545,            0.005545,            0.005545,              0.5267,             0.37988,             0.56813,             0.40102,             0.50174,              0.4244,              0.4486,             0.54022,             0.42221,             0.51582,             0.55891,             0.45044,              0.8023,             0.62737,             0.76031,             0.57786,             0.67929,             0.61626,             0.68583,              0.7235,             0.61759,              0.7663,             0.75816,             0.66455
                  47,            0.028704,            0.063573,           0.0083926,             0.91105,             0.65838,             0.68962,             0.47845,            0.036893,             0.12708,            0.018668,            0.005446,            0.005446,            0.005446,             0.52539,             0.38093,             0.56771,             0.40209,             0.50231,             0.42519,             0.44844,             0.54117,             0.42048,             0.51683,             0.55964,             0.45126,             0.80036,             0.62778,             0.75941,             0.57785,             0.68053,              0.6166,             0.68552,             0.72433,             0.61424,             0.76706,             0.75626,             0.66546
                  48,            0.028491,            0.064041,           0.0082088,             0.90823,              0.6591,             0.68974,             0.47846,            0.036925,             0.12793,            0.018796,            0.005347,            0.005347,            0.005347,             0.52547,             0.38019,             0.56969,             0.40293,             0.50202,             0.42486,              0.4483,             0.54054,             0.42076,             0.51626,             0.55953,             0.45093,             0.80195,             0.62651,             0.75965,             0.57904,             0.68212,              0.6152,             0.68498,             0.72286,             0.61401,             0.76869,             0.75784,             0.66399
                  49,             0.02841,            0.063554,           0.0080959,             0.90635,                0.66,             0.68928,             0.47831,            0.036935,             0.12877,            0.018906,            0.005248,            0.005248,            0.005248,             0.52635,             0.38028,             0.57057,             0.40212,             0.50211,              0.4239,             0.44876,             0.53911,             0.42084,             0.51598,             0.55946,             0.45029,             0.80081,             0.62756,             0.75886,             0.57906,              0.6817,             0.61382,             0.68569,             0.72241,             0.61481,             0.76749,             0.75619,               0.663
                  50,            0.027999,            0.062629,           0.0077466,             0.90468,             0.65945,             0.68934,             0.47871,            0.036952,             0.12947,            0.019025,            0.005149,            0.005149,            0.005149,             0.52647,             0.38003,             0.57215,             0.40355,             0.50342,             0.42347,             0.44898,             0.53952,             0.42056,             0.51649,             0.55969,             0.45021,             0.80138,             0.62728,                0.76,             0.57901,             0.68215,             0.61498,             0.68525,             0.72198,             0.61314,             0.76573,             0.75751,             0.66369
                  51,            0.027821,            0.062248,           0.0075501,             0.90193,             0.65994,             0.68938,             0.47865,            0.036975,             0.13026,             0.01916,             0.00505,             0.00505,             0.00505,             0.52667,              0.3804,             0.57184,             0.40264,             0.50395,             0.42343,             0.44916,             0.53931,             0.41951,              0.5166,             0.55976,             0.45054,             0.80024,             0.62664,             0.76025,             0.57902,             0.68364,             0.61634,             0.68361,             0.72384,             0.61189,             0.76527,             0.75842,             0.66346
                  52,            0.027688,             0.06185,           0.0074353,             0.89914,             0.66041,             0.68938,              0.4784,            0.037021,             0.13109,            0.019282,            0.004951,            0.004951,            0.004951,              0.5261,             0.37966,             0.57229,             0.40156,               0.504,             0.42428,             0.44878,             0.53928,             0.41851,              0.5156,             0.56133,             0.44947,             0.80012,             0.62487,             0.76184,             0.57901,             0.68416,             0.61685,             0.68352,             0.72294,             0.61316,             0.76291,             0.76079,             0.66241
                  53,            0.027544,            0.060732,           0.0073205,             0.89621,             0.66083,             0.68914,             0.47802,            0.037049,             0.13191,            0.019375,            0.004852,            0.004852,            0.004852,             0.52675,             0.37863,             0.57177,             0.40161,             0.50394,             0.42383,             0.44836,              0.5396,              0.4193,             0.51411,             0.55948,             0.44887,             0.79979,             0.62449,             0.76425,              0.5785,             0.68508,               0.616,             0.68242,             0.72356,             0.61386,             0.76202,             0.75906,             0.66063
                  54,            0.027328,            0.061011,           0.0070981,             0.89502,             0.66036,             0.68898,             0.47804,            0.037061,             0.13269,             0.01946,            0.004753,            0.004753,            0.004753,             0.52639,             0.37805,             0.57162,             0.40207,             0.50454,             0.42405,             0.44825,             0.53925,               0.419,             0.51369,             0.56039,             0.44913,              0.8004,             0.62342,             0.76348,             0.57853,             0.68413,               0.615,             0.68342,             0.72384,             0.61244,             0.76231,             0.76014,             0.66069
                  55,            0.027025,            0.059982,           0.0070055,             0.89464,             0.66011,             0.68874,              0.4778,            0.037076,             0.13349,            0.019534,            0.004654,            0.004654,            0.004654,             0.52733,             0.37801,             0.57176,             0.40243,               0.504,             0.42391,             0.44794,             0.53775,             0.41881,              0.5131,              0.5599,             0.44871,             0.79991,             0.62372,             0.76403,             0.57908,             0.68219,             0.61438,             0.68283,             0.72337,             0.61133,              0.7628,             0.76056,             0.66063
